rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
964.,Midnight Run,(1988),A,126 min,"
Action, Comedy, Crime            ",7.5,"
    An accountant is chased by bounty hunters, the F.B.I., and the Mafia after jumping bail.",Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton",$38.41M
965.,The Last Temptation of Christ,(1988),164 min,164 min,"
Drama            ",7.5,"
    The life of Jesus Christ, his journey through life as he faces the struggles all humans do, and his final temptation on the cross.",Martin Scorsese,"Willem Dafoe, Harvey Keitel, Barbara Hershey, Paul Greco",$7.63M
966.,A Fish Called Wanda,(1988),UA,108 min,"
Comedy, Crime            ",7.5,"
    In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot.",Charles Crichton,"John Cleese, John Cleese, Jamie Lee Curtis, Kevin Kline",$63.49M
967.,Beetlejuice,(1988),UA,92 min,"
Comedy, Fantasy            ",7.5,"
    The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe",$73.71M
968.,RoboCop,(1987),A,102 min,"
Action, Crime, Sci-Fi            ",7.5,"
    In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",Paul Verhoeven,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox",$53.42M
969.,Radio Days,(1987),U,88 min,"
Comedy            ",7.5,"
    A nostalgic look at radio's golden age focusing on one ordinary family and the various performers in the medium.",Woody Allen,"Mia Farrow, Dianne Wiest, Mike Starr, Paul Herman",$14.79M
970.,Hoosiers,(1986),114 min,114 min,"
Drama, Sport            ",7.5,"
    A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship.",David Anspaugh,"Gene Hackman, Barbara Hershey, Dennis Hopper, Sheb Wooley",$28.61M
971.,Stranger than Paradise,(1984),89 min,89 min,"
Comedy, Drama            ",7.5,"
    A New Yorker's life is thrown into a tailspin when his younger cousin surprise-visits him, starting a strange, unpredictable adventure.",Jim Jarmusch,"John Lurie, Eszter Balint, Richard Edson, Cecillia Stark",$2.44M
972.,A Nightmare on Elm Street,(1984),A,91 min,"
Horror            ",7.5,"
    The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.",Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon",$25.50M
973.,The Natural,(1984),PG,138 min,"
Drama, Sport            ",7.5,"
    An middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.",Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger",$47.95M
974.,Trading Places,(1983),U,116 min,"
Comedy            ",7.5,"
    A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.",John Landis,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy, Don Ameche",$90.40M
975.,The Last Unicorn,(1982),92 min,92 min,"
Animation, Adventure, Drama            ",7.5,"
    A brave unicorn (Mia Farrow) and a magician (Alan Arkin) fight an evil King (Sir Christopher Lee), who is obsessed with attempting to capture the world's unicorns.",Jules Bass,"Arthur Rankin Jr., Jeff Bridges, Mia Farrow, Angela Lansbury",$6.46M
976.,The Evil Dead,(1981),A,85 min,"
Horror            ",7.5,"
    Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker",$2.40M
977.,An American Werewolf in London,(1981),A,97 min,"
Comedy, Horror            ",7.5,"
    Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.",John Landis,"David Naughton, Jenny Agutter, Joe Belcher, Griffin Dunne",$30.57M
978.,Coal Miner's Daughter,(1980),UA,124 min,"
Biography, Drama, Music            ",7.5,"
    Biographical story of Loretta Lynn, the legendary country singer who rose from humble, poverty-stricken beginnings in Kentucky to worldwide superstardom and changed the sound and style of country music forever.",Michael Apted,"Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens-Liptak",$67.18M
979.,National Lampoon's Animal House,(1978),109 min,109 min,"
Comedy            ",7.5,"
    At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",John Landis,"John Belushi, Karen Allen, Tom Hulce, Stephen Furst",$0.20M
980.,The Omen,(1976),UA,111 min,"
Horror            ",7.5,"
    Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?",Richard Donner,"Gregory Peck, Lee Remick, Harvey Stephens, David Warner",$4.27M
981.,The Texas Chain Saw Massacre,(1974),83 min,83 min,"
Horror            ",7.5,"
    Two siblings and three of their friends en route to visit their grandfather's grave in Texas end up falling victim to a family of cannibalistic psychopaths and must survive the terrors of Leatherface and his family.",Tobe Hooper,"Marilyn Burns, Edwin Neal, Allen Danziger, Paul A. Partain",$30.86M
982.,Bring Me the Head of Alfredo Garcia,(1974),112 min,112 min,"
Action, Crime, Drama            ",7.5,"
    An American bar room pianist and his prostitute girlfriend go on a trip through the Mexican underworld to collect a bounty on the head of a dead gigolo.",Sam Peckinpah,"Warren Oates, Isela Vega, Robert Webber, Gig Young",NaN
983.,The Last Detail,(1973),104 min,104 min,"
Comedy, Drama            ",7.5,"
    Two Navy men are ordered to bring a young offender to prison, but decide to show him one last good time along the way.",Hal Ashby,"Jack Nicholson, Randy Quaid, Otis Young, Clifton James",$0.06M
984.,Charley Varrick,(1973),111 min,111 min,"
Action, Crime, Drama            ",7.5,"
    A man, his wife, and their friend, stage a bloody bank robbery, unaware they are stealing money from the Mob.",Don Siegel,"Walter Matthau, Joe Don Baker, Felicia Farr, Andrew Robinson",NaN
985.,High Plains Drifter,(1973),105 min,105 min,"
Drama, Mystery, Western            ",7.5,"
    A gun fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.",Clint Eastwood,"Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan",$15.70M
986.,Straw Dogs,(1971),A,113 min,"
Crime, Drama, Thriller            ",7.5,"
    A young American and his English wife come to rural England and face increasingly vicious local harassment.",Sam Peckinpah,"Dustin Hoffman, Susan George, Peter Vaughan, T.P. McKenna",NaN
987.,Tora! Tora! Tora!,(1970),144 min,144 min,"
Action, Drama, History            ",7.5,"
    In 1941, following months of economic embargo, Japan prepares to open its war against the United States with a preventive attack on the US naval base at Pearl Harbor.",Richard Fleischer,"Kinji Fukasaku, Toshio Masuda, Martin Balsam, Sô Yamamura",$29.55M
988.,Five Easy Pieces,(1970),98 min,98 min,"
Drama            ",7.5,"
    A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",Bob Rafelson,"Jack Nicholson, Karen Black, Billy Green Bush, Fannie Flagg",$5.51M
989.,The Party,(1968),99 min,99 min,"
Comedy            ",7.5,"
    A clerical mistake results in a bumbling Indian film star being invited to an exclusive Hollywood party instead of being fired.",Blake Edwards,"Peter Sellers, Claudine Longet, Natalia Borisova, Jean Carson",NaN
990.,The Flight of the Phoenix,(1965),142 min,142 min,"
Adventure, Drama            ",7.5,"
    After a plane crash in the Sahara, one of the survivors says he's an airplane designer and they can make a flyable plane from the wreckage.",Robert Aldrich,"James Stewart, Richard Attenborough, Peter Finch, Hardy Krüger",NaN
991.,A Shot in the Dark,(1964),PG,102 min,"
Comedy, Mystery            ",7.5,"
    Inspector Jacques Clouseau investigates the murder of Mr. Benjamin Ballon's driver at a country estate.",Blake Edwards,"Peter Sellers, Elke Sommer, George Sanders, Herbert Lom",$12.37M
992.,It's a Mad Mad Mad Mad World,(1963),210 min,210 min,"
Action, Adventure, Comedy            ",7.5,"
    A group of motorists hear about a crook's hidden stash of loot, and race against each other across the country to get to it.",Stanley Kramer,"Spencer Tracy, Milton Berle, Ethel Merman, Mickey Rooney",$46.30M
993.,Ride the High Country,(1962),94 min,94 min,"
Drama, Western            ",7.5,"
    An ex-union soldier is hired to transport gold from a mining community through dangerous territory. But what he doesn't realize is that his partner and old friend is plotting to double-cross him.",Sam Peckinpah,"Joel McCrea, Randolph Scott, Mariette Hartley, Ron Starr",NaN
994.,West Side Story,(1961),153 min,153 min,"
Crime, Drama, Musical            ",7.5,"
    Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",Jerome Robbins,"Robert Wise, Natalie Wood, George Chakiris, Richard Beymer",$43.66M
995.,An Affair to Remember,(1957),115 min,115 min,"
Drama, Musical, Romance            ",7.5,"
    A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?",Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson",NaN
996.,The Man Who Knew Too Much,(1956),120 min,120 min,"
Drama, Thriller            ",7.5,"
    An American physician and his wife take matters into their own hands after assassins planning to execute a foreign Prime Minister kidnap their son.",Alfred Hitchcock,"James Stewart, Doris Day, Brenda de Banzie, Bernard Miles",$10.25M
997.,The Bad Seed,(1956),129 min,129 min,"
Drama, Horror, Thriller            ",7.5,"
    A housewife suspects that her seemingly perfect eight-year-old daughter is a heartless killer.",Mervyn LeRoy,"Nancy Kelly, Patty McCormack, Henry Jones, Eileen Heckart",NaN
998.,All the King's Men,(1949),110 min,110 min,"
Drama, Film-Noir            ",7.5,"
    The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",Robert Rossen,"Broderick Crawford, John Ireland, Joanne Dru, John Derek",NaN
999.,Adam's Rib,(1949),101 min,101 min,"
Comedy, Drama, Romance            ",7.5,"
    Domestic and professional tensions mount when a husband and wife work as opposing lawyers in a case involving a woman who shot her husband.",George Cukor,"Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell",NaN
"1,000.",Fort Apache,(1948),128 min,128 min,"
Action, Adventure, Western            ",7.5,"
    At Fort Apache, an honorable and veteran war captain finds conflict when his regime is placed under the command of a young, glory hungry lieutenant colonel with no respect for the local Indian tribe.",John Ford,"John Wayne, Henry Fonda, Shirley Temple, Pedro Armendáriz",NaN
"1,001.",Dark Passage,(1947),106 min,106 min,"
Film-Noir, Thriller            ",7.5,"
    A man convicted of murdering his wife escapes from prison and works with a woman to try and prove his innocence.",Delmer Daves,"Humphrey Bogart, Lauren Bacall, Bruce Bennett, Agnes Moorehead",NaN
"1,002.",The Postman Always Rings Twice,(1946),113 min,113 min,"
Crime, Drama, Film-Noir            ",7.5,"
    A married woman and a drifter fall in love, then plot to murder her husband.",Tay Garnett,"Lana Turner, John Garfield, Cecil Kellaway, Hume Cronyn",$8.33M
"1,003.",The Picture of Dorian Gray,(1945),110 min,110 min,"
Drama, Fantasy, Horror            ",7.5,"
    A corrupt young man somehow keeps his youthful beauty, but a special painting gradually reveals his inner ugliness to all.",Albert Lewin,"George Sanders, Hurd Hatfield, Donna Reed, Angela Lansbury",NaN
"1,004.",And Then There Were None,(1945),97 min,97 min,"
Crime, Drama, Mystery            ",7.5,"
    Seven guests, a newly hired secretary and two staff are gathered at a manor house on an isolated island by an unknown absentee host and are killed off one-by-one. They work together to determine who the killer is before it's too late.",René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward, Roland Young",NaN
"1,005.",The Palm Beach Story,(1942),88 min,88 min,"
Comedy, Romance            ",7.5,"
    An inventor needs cash to develop his big idea. His wife, who loves him, decides to raise it for him by divorcing him and marrying a millionaire.",Preston Sturges,"Claudette Colbert, Joel McCrea, Mary Astor, Rudy Vallee",$0.44M
"1,006.",High Sierra,(1941),100 min,100 min,"
Action, Adventure, Crime            ",7.5,"
    After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis, Arthur Kennedy",NaN
"1,007.",The Thief of Bagdad,(1940),106 min,106 min,"
Adventure, Family, Fantasy            ",7.5,"
    After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves.",Ludwig Berger,"Michael Powell, Tim Whelan, Alexander Korda, Zoltan Korda",$0.27M
"1,008.",Foreign Correspondent,(1940),120 min,120 min,"
Action, Romance, Thriller            ",7.5,"
    On the eve of World War II, a young American reporter tries to expose enemy agents in London.",Alfred Hitchcock,"Joel McCrea, Laraine Day, Herbert Marshall, George Sanders",$3.48M
"1,009.",Jezebel,(1938),104 min,104 min,"
Drama, Romance            ",7.5,"
    In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back.",William Wyler,"Bette Davis, Henry Fonda, George Brent, Margaret Lindsay",NaN
"1,010.",The Petrified Forest,(1936),82 min,82 min,"
Drama, Film-Noir, Romance            ",7.5,"
    A waitress, a hobo and a bank robber get mixed up at a lonely diner in the desert.",Archie Mayo,"Leslie Howard, Humphrey Bogart, Bette Davis, Genevieve Tobin",NaN
